,0
0,72
1,40
2,93
3,119
4,84
5,25
6,31
7,-26
8,-32
9,-4
10,85
11,64
12,15
13,72
14,89
15,61
16,26
17,96
18,74
19,-31
20,26
21,52
22,13
23,59
24,68
25,96
26,55
27,68
28,90
29,84
30,-3
31,48
32,36
33,24
34,54
35,88
36,36
37,56
38,113
39,116
40,46
41,55
42,70
43,47
44,13
45,36
46,25
47,32
48,83
49,68
50,58
51,70
52,52
53,20
54,70
55,74
56,60
57,38
58,60
59,44
60,85
61,56
62,67
63,63
64,45
65,62
66,47
67,52
68,21
69,53
70,53
71,7
72,71
73,45
74,63
75,32
76,60
77,79
78,59
79,63
80,40
81,52
82,41
83,45
84,44
85,66
86,67
87,54
88,55
89,52
90,73
91,67
92,79
93,52
94,65
95,8
96,29
97,26
98,63
99,112
100,48
101,82
102,85
103,76
104,74
105,72
106,37
107,41
108,63
109,53
110,59
111,24
112,24
113,46
114,58
115,38
116,77
117,59
118,85
119,104
120,77
121,94
122,39
123,94
124,34
125,9
126,44
127,23
128,69
129,62
130,58
131,91
132,34
133,93
134,53
135,70
136,87
137,29
138,49
139,81
140,3
141,-8
142,63
143,80
144,37
145,56
146,68
147,59
148,78
149,89
150,66
151,66
152,70
153,48
154,61
155,64
156,58
157,50
158,22
159,54
160,75
161,46
162,57
163,95
164,75
165,79
166,33
167,74
168,69
169,33
170,51
171,74
172,58
173,77
174,14
175,35
176,89
177,23
178,49
179,68
180,60
181,59
182,71
183,34
184,-7
185,34
186,95
187,113
188,49
189,70
190,67
191,34
192,88
193,43
194,68
195,46
196,33
197,34
198,26
199,53
200,69
201,87
202,102
203,109
204,64
205,71
206,66
207,38
208,62
209,78
210,82
211,30
212,51
213,49
214,88
215,65
216,39
217,26
218,27
219,60
220,27
221,43
222,65
223,42
224,49
225,54
226,71
227,49
228,0
229,51
230,110
231,114
232,76
233,62
234,82
235,82
236,82
237,129
238,119
239,48
240,111
241,133
242,74
243,46
244,171
245,160
246,29
247,126
248,176
249,74
250,40
251,128
252,191
253,32
254,61
255,183
256,106
257,75
258,122
259,170
260,48
261,81
262,146
263,162
264,82
265,115
266,157
267,69
268,47
269,81
270,161
271,61
272,42
273,113
274,120
275,65
276,149
277,167
278,52
279,59
280,134
281,88
282,22
283,88
284,155
285,96
286,3
287,123
288,124
289,1
290,90
291,195
292,73
293,22
294,119
295,158
296,40
297,69
298,165
299,63
300,56
301,108
302,116
303,37
304,45
305,149
306,89
307,5
308,113
309,91
310,29
311,39
312,133
313,51
314,-19
315,111
316,42
317,-30
318,14
319,140
320,54
321,15
322,41
323,70
324,-5
325,-8
326,100
327,40
328,-27
329,49
330,69
331,-23
332,39
333,138
334,4
335,-31
336,94
337,86
338,15
339,33
340,155
341,41
342,16
343,119
344,111
345,62
346,81
347,130
348,38
349,36
350,156
351,59
352,-2
353,148
354,75
355,10
356,28
357,90
358,5
359,-31
360,56
361,-51
362,-50
363,88
364,61
365,-23
366,67
367,67
368,8
369,11
370,114
371,33
372,-11
373,97
374,84
375,-15
376,51
377,110
378,-11
379,-4
380,103
381,31
382,17
383,118
384,63
385,9
386,37
387,97
388,4
389,-19
390,86
391,48
392,-12
393,26
394,87
395,33
396,-51
397,25
398,68
399,-12
400,-36
401,79
402,45
403,-2
404,-29
405,35
406,-3
407,17
408,74
409,91
410,26
411,-4
412,122
413,55
414,20
415,57
416,110
417,7
418,-24
419,7
420,5
421,27
422,-2
423,79
424,54
425,36
426,-15
427,48
428,51
429,-35
430,-10
431,60
432,-20
433,0
434,12
435,38
436,22
437,39
438,35
439,31
440,27
441,38
442,12
443,-56
444,-17
445,-28
446,-75
447,-1
448,-22
449,-18
450,-20
451,98
452,61
453,-16
454,78
455,29
456,-41
457,-38
458,0
459,-50
460,-24
461,-10
462,35
463,-16
464,47
465,16
466,-4
467,8
468,7
469,13
470,-57
471,3
472,13
473,-31
474,52
475,24
476,0
477,25
478,60
479,-15
480,-49
481,30
482,7
483,-49
484,-26
485,16
486,8
487,-6
488,38
489,47
490,4
491,-4
492,-35
493,-66
494,-71
495,28
496,-10
497,7
498,24
499,31
500,36
501,13
502,24
503,-1
504,4
505,44
506,-22
507,-8
508,15
509,-20
510,-6
511,18
512,42
513,17
514,17
515,-3
516,-2
517,-15
518,-41
519,-19
520,16
521,-3
522,-8
523,-39
524,-1
525,-13
526,-13
527,26
528,37
529,36
530,9
531,29
532,-22
533,-9
534,3
535,-7
536,-52
537,-49
538,-22
539,37
540,39
541,29
542,22
543,19
544,1
545,19
546,2
547,24
548,14
549,7
550,6
551,-13
552,-15
553,13
554,50
555,23
556,-12
557,-10
558,-1
559,13
560,-36
561,0
562,-3
563,-36
564,-13
565,4
566,11
567,-4
568,9
569,32
570,11
571,21
572,-2
573,14
574,8
575,18
576,-21
577,-8
578,7
579,13
580,-45
581,-10
582,-88
583,18
584,52
585,2
586,23
587,18
588,6
589,12
590,-32
591,10
592,-31
593,38
594,6
595,-14
596,-31
597,-16
598,33
599,16
600,18
601,18
602,38
603,18
604,6
605,-16
606,4
607,-18
608,-12
609,-21
610,-27
611,15
612,2
613,-40
614,-9
615,-9
616,15
617,16
618,15
619,29
620,35
621,4
622,-32
623,18
624,-67
625,-93
626,-67
627,-30
628,6
629,23
630,-5
631,14
632,-16
633,27
634,-11
635,6
636,-27
637,-3
638,19
639,-20
640,1
641,-3
642,22
643,0
644,25
645,20
646,-4
647,23
648,-12
649,-16
650,-22
651,4
652,-29
653,-22
654,-10
655,-30
656,8
657,-5
658,-2
659,3
660,11
661,12
662,13
663,15
664,10
665,-9
666,48
667,31
668,-1
669,-6
670,-30
671,0
672,-2
673,16
674,-10
675,12
676,-21
677,-3
678,11
679,-125
680,-19
681,10
682,-56
683,-36
684,-8
685,-83
686,-47
687,-4
688,-30
689,-91
690,-46
691,-22
692,-77
693,-12
694,-13
695,-138
696,-43
697,17
698,-74
699,-99
700,3
701,-47
702,-95
703,-4
704,-7
705,-73
706,-49
707,12
708,-75
709,-48
710,16
711,-78
712,-49
713,-42
714,-70
715,-76
716,-5
717,-6
718,-59
719,-30
720,7
721,-80
722,-66
723,35
724,-27
725,-75
726,-8
727,13
728,-104
729,-12
730,21
731,-59
732,-55
733,22
734,-59
735,-50
736,17
737,-13
738,-41
739,17
740,43
741,-38
742,-28
743,57
744,16
745,-53
746,49
747,71
748,-9
749,18
750,67
751,-29
752,-37
753,103
754,4
755,-34
756,8
757,48
758,-50
759,0
760,63
761,56
762,-82
763,41
764,58
765,-35
766,-26
767,19
768,20
769,-86
770,-36
771,10
772,-40
773,-44
774,32
775,10
776,-82
777,-33
778,-3
779,34
780,-62
781,22
782,63
783,-43
784,0
785,57
786,-3
787,-24
788,7
789,49
790,-31
791,-14
792,64
793,56
794,-57
795,45
796,82
797,-12
798,-38
799,55
800,1
801,-92
802,-91
803,71
804,-62
805,-28
806,28
807,31
808,-11
809,7
810,43
811,-61
812,-9
813,5
814,-7
815,-56
816,31
817,30
818,-60
819,0
820,40
821,-15
822,-70
823,44
824,-14
825,-52
826,-28
827,60
828,-13
829,-41
830,26
831,24
832,-74
833,-7
834,48
835,-8
836,-19
837,55
838,64
839,-51
840,3
841,45
842,11
843,2
844,52
845,-18
846,-60
847,11
848,126
849,44
850,56
851,76
852,104
853,-15
854,17
855,51
856,33
857,-39
858,28
859,34
860,7
861,38
862,56
863,71
864,57
865,103
866,99
867,35
868,-14
869,42
870,32
871,36
872,37
873,13
874,48
875,21
876,75
877,77
878,50
879,43
880,76
881,48
882,-9
883,39
884,43
885,34
886,14
887,84
888,93
889,-41
890,0
891,58
892,79
893,56
894,57
895,67
896,10
897,-5
898,60
899,43
900,24
901,56
902,105
903,91
904,32
905,113
906,43
907,24
908,46
909,60
910,30
911,32
912,95
913,93
914,4
915,84
916,83
917,53
918,37
919,58
920,50
921,8
922,15
923,72
924,60
925,51
926,89
927,67
928,63
929,112
930,51
931,36
932,25
933,26
934,-14
935,-26
936,95
937,63
938,60
939,77
940,98
941,39
942,36
943,60
944,63
945,21
946,40
947,28
948,58
949,76
950,91
951,83
952,106
953,41
954,63
955,76
956,23
957,40
958,22
959,52
960,46
961,68
962,40
963,66
964,37
965,62
966,53
967,99
968,60
969,40
970,62
971,36
972,54
973,18
974,29
975,121
976,41
977,85
978,24
979,-48
980,78
981,102
982,76
983,55
984,79
985,55
986,50
987,29
988,71
989,38
990,77
991,68
992,55
993,43
994,68
995,52
996,40
997,27
998,55
999,66
1000,64
1001,81
1002,52
1003,57
1004,42
1005,93
1006,73
1007,40
1008,86
1009,49
1010,53
1011,45
1012,55
1013,17
1014,55
1015,63
1016,45
1017,31
1018,76
1019,24
1020,70
1021,66
1022,17
1023,69
1024,75
1025,82
1026,43
1027,30
1028,60
1029,64
1030,50
1031,42
1032,43
1033,31
1034,62
1035,76
1036,78
1037,67
1038,83
1039,82
1040,52
1041,51
1042,52
1043,63
1044,41
1045,31
1046,50
1047,60
1048,51
1049,39
1050,60
1051,54
1052,65
1053,67
1054,91
1055,73
1056,85
1057,64
1058,69
1059,68
1060,36
1061,57
1062,41
1063,73
1064,67
1065,79
1066,10
1067,-7
1068,48
1069,82
1070,57
1071,97
1072,111
1073,69
1074,47
1075,63
1076,79
1077,24
1078,84
1079,59
1080,52
1081,54
1082,35
1083,38
1084,63
1085,40
1086,57
1087,63
1088,96
1089,32
1090,46
1091,85
1092,86
1093,48
1094,49
1095,73
1096,75
1097,59
1098,64
1099,70
1100,107
1101,53
1102,36
1103,48
1104,66
1105,68
1106,61
1107,53
1108,62
1109,49
1110,43
1111,17
1112,65
1113,58
1114,37
1115,55
1116,58
1117,46
1118,70
1119,34
1120,62
1121,115
1122,67
1123,22
1124,103
1125,146
1126,68
1127,63
1128,219
1129,93
1130,36
1131,100
1132,172
1133,61
1134,19
1135,136
1136,133
1137,54
1138,60
1139,158
1140,97
1141,41
1142,109
1143,149
1144,70
1145,35
1146,134
1147,87
1148,43
1149,89
1150,168
1151,73
1152,17
1153,114
1154,40
1155,-55
1156,-1
1157,166
1158,116
1159,62
1160,154
1161,102
1162,59
1163,32
1164,147
1165,64
1166,20
1167,62
1168,106
1169,26
1170,8
1171,88
1172,99
1173,-14
1174,23
1175,97
1176,13
1177,8
1178,94
1179,55
1180,-6
1181,4
1182,75
1183,-36
1184,-10
1185,108
1186,71
1187,41
1188,83
1189,120
1190,54
1191,-9
1192,70
1193,44
1194,-1
1195,12
1196,83
1197,35
1198,-25
1199,-9
1200,49
1201,4
1202,37
1203,106
1204,-16
1205,-55
1206,59
1207,106
1208,87
1209,114
1210,176
1211,37
1212,-26
1213,110
1214,78
1215,17
1216,66
1217,65
1218,24
1219,11
1220,109
1221,40
1222,-3
1223,104
1224,49
1225,-42
1226,36
1227,81
1228,-12
1229,-12
1230,61
1231,0
1232,-31
1233,37
1234,36
1235,-5
1236,77
1237,166
1238,51
1239,-4
1240,126
1241,66
1242,17
1243,25
1244,32
1245,67
1246,69
1247,168
1248,67
1249,-32
1250,115
1251,62
1252,-43
1253,17
1254,75
1255,0
1256,-5
1257,49
1258,130
1259,33
1260,-1
1261,110
1262,30
1263,-7
1264,10
1265,93
1266,35
1267,-16
1268,94
1269,78
1270,-5
1271,27
1272,114
1273,14
1274,-27
1275,85
1276,123
1277,24
1278,-25
1279,95
1280,42
1281,-40
1282,10
1283,61
1284,6
1285,-1
1286,120
1287,37
1288,22
1289,18
1290,95
1291,26
1292,-66
1293,17
1294,37
1295,4
1296,-35
1297,88
1298,68
1299,28
1300,23
1301,85
1302,28
1303,-55
1304,-54
1305,-10
1306,18
1307,-7
1308,40
1309,72
1310,-17
1311,37
1312,31
1313,43
1314,-37
1315,42
1316,22
1317,-19
1318,-32
1319,2
1320,-15
1321,-62
1322,3
1323,34
1324,-17
1325,73
1326,83
1327,54
1328,-20
1329,0
1330,-32
1331,-143
1332,-53
1333,-63
1334,-58
1335,65
1336,126
1337,30
1338,19
1339,55
1340,-9
1341,-7
1342,-41
1343,-38
1344,-71
1345,-18
1346,-22
1347,-55
1348,45
1349,69
1350,-27
1351,6
1352,3
1353,-65
1354,-47
1355,-41
1356,-40
1357,20
1358,71
1359,-16
1360,-30
1361,22
1362,26
1363,-36
1364,14
1365,17
1366,-66
1367,-14
1368,-17
1369,-77
1370,1
1371,-6
1372,-34
1373,-17
1374,30
1375,-42
1376,23
1377,-6
1378,16
1379,-34
1380,-76
1381,-83
1382,1
1383,1
1384,22
1385,52
1386,57
1387,13
1388,11
1389,9
1390,-13
1391,22
1392,-5
1393,-49
1394,-2
1395,0
1396,5
1397,-18
1398,-7
1399,12
1400,8
1401,-23
1402,-37
1403,-54
1404,-78
1405,-43
1406,-7
1407,69
1408,38
1409,-26
1410,14
1411,3
1412,23
1413,-21
1414,-1
1415,-14
1416,-33
1417,-24
1418,2
1419,-37
1420,-92
1421,-48
1422,11
1423,22
1424,13
1425,18
1426,1
1427,8
1428,-18
1429,-34
1430,-61
1431,-59
1432,-62
1433,-27
1434,17
1435,58
1436,33
1437,-12
1438,-9
1439,-3
1440,12
1441,4
1442,9
1443,-22
1444,-3
1445,-13
1446,-26
1447,-35
1448,-24
1449,-26
1450,-24
1451,-28
1452,-14
1453,-46
1454,-27
1455,30
1456,32
1457,75
1458,-4
1459,-15
1460,-4
1461,-10
1462,-36
1463,-55
1464,-79
1465,-50
1466,-18
1467,-8
1468,3
1469,-10
1470,10
1471,-7
1472,3
1473,18
1474,0
1475,18
1476,-15
1477,-28
1478,-47
1479,-49
1480,-113
1481,-81
1482,-16
1483,9
1484,30
1485,43
1486,10
1487,-16
1488,3
1489,0
1490,-4
1491,-4
1492,2
1493,-24
1494,-38
1495,-38
1496,-14
1497,-34
1498,-38
1499,-22
1500,-57
1501,-46
1502,-64
1503,-18
1504,29
1505,38
1506,51
1507,76
1508,-49
1509,-35
1510,-10
1511,30
1512,22
1513,-10
1514,-12
1515,-6
1516,-42
1517,-1
1518,-16
1519,-17
1520,-3
1521,1
1522,-17
1523,25
1524,6
1525,20
1526,-32
1527,-27
1528,3
1529,-31
1530,-26
1531,-19
1532,-41
1533,19
1534,18
1535,19
1536,3
1537,-28
1538,-36
1539,-32
1540,-39
1541,-1
1542,-30
1543,-35
1544,-32
1545,11
1546,-49
1547,-35
1548,-43
1549,-22
1550,-11
1551,-54
1552,-54
1553,-34
1554,17
1555,37
1556,102
1557,62
1558,-54
1559,3
1560,-11
1561,-50
1562,-46
1563,-11
1564,-40
1565,-65
1566,-27
1567,24
1568,-84
1569,-25
1570,13
1571,-71
1572,-53
1573,15
1574,-28
1575,-51
1576,25
1577,-68
1578,-125
1579,-53
1580,-28
1581,-116
1582,-60
1583,54
1584,-41
1585,25
1586,25
1587,-95
1588,-40
1589,2
1590,-75
1591,-67
1592,-4
1593,-57
1594,-74
1595,12
1596,2
1597,-79
1598,-43
1599,-5
1600,-77
1601,-58
1602,-5
1603,-72
1604,-34
1605,68
1606,45
1607,-28
1608,-1
1609,1
1610,-68
1611,-13
1612,62
1613,-54
1614,10
1615,-2
1616,-37
1617,-4
1618,17
1619,-11
1620,-93
1621,50
1622,47
1623,-30
1624,72
1625,15
1626,-96
1627,-56
1628,46
1629,-76
1630,-59
1631,-22
1632,1
1633,-21
1634,78
1635,8
1636,-63
1637,-12
1638,50
1639,-90
1640,-90
1641,43
1642,-114
1643,-41
1644,41
1645,30
1646,-51
1647,8
1648,10
1649,-89
1650,-69
1651,-28
1652,-77
1653,-55
1654,78
1655,18
1656,6
1657,77
1658,33
1659,-51
1660,28
1661,82
1662,-38
1663,8
1664,60
1665,-22
1666,-8
1667,71
1668,6
1669,-25
1670,61
1671,28
1672,-38
1673,-20
1674,36
1675,-55
1676,-47
1677,-8
1678,-88
1679,-122
1680,-16
1681,-19
1682,-23
1683,50
1684,-82
1685,-79
1686,-37
1687,51
1688,-15
1689,-14
1690,64
1691,34
1692,-45
1693,11
1694,63
1695,-51
1696,51
1697,45
1698,-11
1699,-44
1700,13
1701,-15
1702,-55
1703,47
1704,115
1705,52
1706,51
1707,87
1708,-18
1709,13
1710,88
1711,50
1712,-38
1713,25
1714,81
1715,-35
1716,5
1717,46
1718,5
1719,-84
1720,25
1721,43
1722,-73
1723,-17
1724,44
1725,-16
1726,-91
1727,-35
1728,-92
1729,-50
1730,-29
1731,117
1732,89
1733,18
1734,124
1735,132
1736,24
1737,57
1738,81
1739,-37
1740,-28
1741,46
1742,43
1743,-47
1744,13
1745,72
1746,0
1747,65
1748,65
1749,-7
1750,-11
1751,67
1752,84
1753,48
1754,98
1755,84
1756,-22
1757,-15
1758,25
1759,19
1760,8
1761,73
1762,83
1763,32
1764,99
1765,63
1766,-4
1767,26
1768,31
1769,-36
1770,-16
1771,74
1772,0
1773,53
1774,45
1775,121
1776,-33
1777,27
1778,31
1779,-20
1780,17
1781,65
1782,78
1783,69
1784,91
1785,39
1786,10
1787,101
1788,89
1789,6
1790,61
1791,74
1792,1
1793,55
1794,49
1795,2
1796,66
1797,61
1798,25
1799,28
1800,67
1801,60
1802,54
1803,84
1804,123
1805,59
1806,28
1807,69
1808,36
1809,40
1810,62
1811,47
1812,52
1813,57
1814,56
1815,15
1816,48
1817,-52
1818,-18
1819,39
1820,75
1821,62
1822,49
1823,75
1824,83
1825,47
1826,21
1827,35
1828,1
1829,-23
1830,23
1831,34
1832,97
1833,46
1834,56
1835,43
1836,27
1837,67
1838,63
1839,53
1840,33
1841,21
1842,49
1843,54
1844,50
1845,34
1846,6
1847,44
1848,15
1849,39
1850,37
1851,38
1852,83
1853,121
1854,131
1855,86
1856,35
1857,-32
1858,12
1859,64
1860,35
1861,-5
1862,-5
1863,85
1864,59
1865,65
1866,70
1867,23
1868,-7
1869,36
1870,25
1871,50
1872,51
1873,29
1874,5
1875,35
1876,25
1877,3
1878,31
1879,43
1880,87
1881,115
1882,72
1883,38
1884,-7
1885,-2
1886,25
1887,39
1888,29
1889,31
1890,42
1891,59
1892,34
1893,33
1894,75
1895,69
1896,59
1897,28
1898,13
1899,-12
1900,-17
1901,27
1902,71
1903,109
1904,24
1905,-28
1906,43
1907,67
1908,112
1909,80
1910,53
1911,78
1912,25
1913,58
1914,76
1915,57
1916,57
1917,49
1918,14
1919,14
1920,81
1921,74
1922,72
1923,54
1924,45
1925,40
1926,11
1927,40
1928,40
1929,41
1930,85
1931,103
1932,77
1933,40
1934,31
1935,23
1936,31
1937,54
1938,63
1939,19
1940,57
1941,74
1942,64
1943,57
1944,61
1945,56
1946,67
1947,0
1948,7
1949,-62
1950,28
1951,46
1952,80
1953,116
1954,72
1955,76
1956,54
1957,40
1958,55
1959,53
1960,55
1961,59
1962,50
1963,59
1964,53
1965,59
1966,51
1967,55
1968,37
1969,36
1970,54
1971,67
1972,70
1973,29
1974,44
1975,27
1976,-3
1977,-12
1978,2
1979,33
1980,66
1981,86
1982,82
1983,20
1984,49
1985,35
1986,27
1987,46
1988,66
1989,65
1990,20
1991,43
1992,75
1993,-15
1994,78
1995,70
1996,76
1997,37
1998,47
1999,49
2000,80
2001,99
2002,120
2003,189
2004,90
2005,43
2006,126
2007,123
2008,39
2009,122
2010,181
2011,58
2012,63
2013,168
2014,81
2015,10
2016,137
2017,130
2018,51
2019,107
2020,174
2021,92
2022,68
2023,151
2024,91
2025,-28
2026,80
2027,82
2028,8
2029,104
2030,194
2031,129
2032,54
2033,117
2034,108
2035,47
2036,36
2037,86
2038,24
2039,51
2040,141
2041,159
2042,42
2043,88
2044,150
2045,98
2046,-3
2047,114
2048,44
2049,-13
2050,74
2051,161
2052,101
2053,124
2054,147
2055,99
2056,16
2057,114
2058,118
2059,44
2060,81
2061,106
2062,23
2063,36
2064,109
2065,81
2066,9
2067,85
2068,107
2069,16
2070,94
2071,138
2072,12
2073,16
2074,110
2075,-19
2076,-38
2077,68
2078,52
2079,36
2080,147
2081,65
2082,-56
2083,15
2084,106
2085,12
2086,10
2087,144
2088,-1
2089,-40
2090,88
2091,2
2092,-36
2093,94
2094,40
2095,-59
2096,30
2097,44
2098,8
2099,-7
2100,131
2101,84
2102,59
2103,141
2104,42
2105,-21
2106,89
2107,121
2108,39
2109,22
2110,125
2111,38
2112,20
2113,91
2114,79
2115,-26
2116,66
2117,41
2118,-18
2119,33
2120,92
2121,9
2122,-64
2123,72
2124,-41
2125,-98
2126,-1
2127,-17
2128,4
2129,80
2130,121
2131,8
2132,-21
2133,105
2134,56
2135,-49
2136,42
2137,51
2138,-58
2139,36
2140,115
2141,40
2142,-20
2143,105
2144,30
2145,-48
2146,7
2147,40
2148,-30
2149,-31
2150,122
2151,71
2152,22
2153,74
2154,52
2155,-45
2156,-14
2157,79
2158,37
2159,-26
2160,22
2161,47
2162,16
2163,-73
2164,68
2165,60
2166,-50
2167,67
2168,40
2169,-13
2170,-47
2171,91
2172,45
2173,15
2174,61
2175,1
2176,-25
2177,54
2178,73
2179,9
2180,0
2181,53
2182,-37
2183,-60
2184,3
2185,54
2186,-5
2187,-1
2188,18
2189,-10
2190,-31
2191,32
2192,46
2193,-55
2194,43
2195,-35
2196,-25
2197,-60
2198,-19
2199,-14
2200,20
2201,109
2202,88
2203,-32
2204,22
2205,32
2206,-42
2207,-1
2208,9
2209,-40
2210,-25
2211,3
2212,36
2213,-75
2214,-20
2215,76
2216,6
2217,29
2218,10
2219,6
2220,-61
2221,-3
2222,-8
2223,-76
2224,-10
2225,-11
2226,-5
2227,-8
2228,61
2229,50
2230,-21
2231,6
2232,-6
2233,-61
2234,-20
2235,-16
2236,14
2237,-11
2238,8
2239,31
2240,-14
2241,45
2242,33
2243,-60
2244,-34
2245,-60
2246,-48
2247,-94
2248,-18
2249,31
2250,30
2251,84
2252,41
2253,-4
2254,-47
2255,-21
2256,13
2257,-23
2258,-40
2259,-49
2260,-25
2261,-7
2262,16
2263,10
2264,31
2265,-1
2266,-8
2267,-17
2268,6
2269,-23
2270,-39
2271,-34
2272,-50
2273,-77
2274,-73
2275,-34
2276,-12
2277,13
2278,68
2279,7
2280,-31
2281,-21
2282,-19
2283,-55
2284,-49
2285,-48
2286,-52
2287,13
2288,20
2289,-21
2290,29
2291,23
2292,1
2293,-32
2294,-25
2295,-39
2296,-78
2297,-28
2298,-15
2299,19
2300,54
2301,2
2302,-32
2303,9
2304,2
2305,40
2306,-10
2307,-7
2308,-1
2309,-42
2310,-21
2311,-15
2312,-37
2313,-25
2314,-28
2315,-14
2316,5
2317,-3
2318,24
2319,12
2320,-16
2321,-23
2322,-31
2323,-44
2324,-83
2325,-59
2326,-6
2327,-14
2328,46
2329,31
2330,6
2331,-5
2332,13
2333,16
2334,-16
2335,-7
2336,-46
2337,-52
2338,-31
2339,24
2340,-18
2341,-18
2342,-34
2343,-33
2344,-24
2345,-25
2346,-86
2347,-76
2348,18
2349,95
2350,77
2351,24
2352,-7
2353,2
2354,-24
2355,7
2356,-56
2357,-42
2358,-26
2359,-14
2360,15
2361,-1
2362,-32
2363,9
2364,-18
2365,-27
2366,4
2367,-12
2368,-25
2369,-51
2370,-58
2371,-33
2372,-65
2373,-42
2374,-64
2375,-68
2376,13
2377,32
2378,60
2379,43
2380,7
2381,-9
2382,-10
2383,9
2384,8
2385,-30
2386,-36
2387,-66
2388,-15
2389,-17
2390,-60
2391,-64
2392,-89
2393,-25
2394,-37
2395,-66
2396,-27
2397,-16
2398,31
2399,65
2400,73
2401,17
2402,10
2403,-31
2404,49
2405,-15
2406,-8
2407,-20
2408,-11
2409,-47
2410,-17
2411,-29
2412,-20
2413,-63
2414,-36
2415,-50
2416,-27
2417,0
2418,-20
2419,-14
2420,-42
2421,-47
2422,-34
2423,-79
2424,-26
2425,-8
2426,11
2427,64
2428,19
2429,-20
2430,-11
2431,-17
2432,-5
2433,-16
2434,-20
2435,-14
2436,-53
2437,-13
2438,-17
2439,-25
2440,-19
2441,15
2442,-147
2443,-56
2444,-58
2445,-158
2446,-68
2447,-47
2448,-37
2449,-31
2450,21
2451,-31
2452,-118
2453,-47
2454,-12
2455,-69
2456,-54
2457,-17
2458,-63
2459,-131
2460,3
2461,-64
2462,-115
2463,-46
2464,-30
2465,-134
2466,-29
2467,-22
2468,-70
2469,-94
2470,-11
2471,-135
2472,-147
2473,-58
2474,-58
2475,-141
2476,-48
2477,33
2478,-123
2479,-47
2480,-27
2481,-74
2482,-61
2483,8
2484,11
2485,-47
2486,-5
2487,-7
2488,-50
2489,-56
2490,40
2491,-77
2492,-95
2493,-48
2494,-42
2495,-110
2496,-68
2497,34
2498,1
2499,-7
2500,55
2501,2
2502,-66
2503,23
2504,28
2505,-98
2506,-18
2507,38
2508,14
2509,-69
2510,3
2511,41
2512,-27
2513,-51
2514,48
2515,17
2516,-82
2517,86
2518,53
2519,-58
